Zone,City,Region,Source
HAY,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UXB,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HOR,Horsham,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
PIN,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WEM,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RSL,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HRO,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HUL,Hull,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
HWC,High Wycombe,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
IPS,Ipswich,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
LAN,Lancaster,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
LIN,Lincoln,East Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
MAID,Maidenhead,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
MDS,Maidstone,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
MID,Middlesbrough,North East,https://riders.deliveroo.co.uk/en/bicycle-boosts
MK,Milton Keynes,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
NOR,Norwich,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
NTH,Northampton,East Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
NUN,Nuneaton,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
NWB,Newbury,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
NWP,Newport,Wales,https://riders.deliveroo.co.uk/en/bicycle-boosts
PET,Peterborough,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
PLY,Plymouth,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
PRSN,Preston,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAR,Royal Leamington Spa,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
RLS,Royal Leamington Spa,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
SCU,Scunthorpe,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHR,Shrewsbury,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WIN,Windsor,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
SLO,Windsor,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOS,Southend on sea,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
STA,St Albans,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
STEV,Stevenage,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWA,Swansea,Wales,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWI,Swindon,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
TAM,Tamworth,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLY,Welwyn Garden City,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOK,Woking,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOR,Worcester,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WRG,Warrington,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
WRT,Worthing,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
YOR,York,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
EC,London,London,London zone map
LBR,London,London,London zone map
VKO,London,London,London zone map
DAL,London,London,London zone map
WC,London,London,London zone map
CLA,London,London,London zone map
NHP,London,London,London zone map
BLW,London,London,London zone map
MMS,London,London,London zone map
BAL,London,London,London zone map
BRS,Bristol,South West,Ethan
EDN,Edinburgh,Scotland,Ethan
EDS,Edinburgh,Scotland,Ethan
EDSW,Edinburgh,Scotland,Ethan
GLC,Glasgow,Scotland,Ethan
LOU,Loughborough,East Midlands,Ethan
ABR,Aberystwyth,Wales,Ethan
REA,Reading,South East,Ethan
CST,Chester,North West,Ethan
RTW,Tunbridge Wells,South East,Ethan
NTG,Nottingham,East Midlands,Ethan
LEI,Leicester,East Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
